Code,Reg,Dep,PopulationTotal,Level
75056,11,75,2187526.0,Municipality
75101,11,75,16266.0,Municipality
75102,11,75,20900.0,Municipality
75103,11,75,34115.0,Municipality
75104,11,75,28088.0,Municipality
75105,11,75,58850.0,Municipality
75106,11,75,41100.0,Municipality
75107,11,75,51367.0,Municipality
75108,11,75,36808.0,Municipality
75109,11,75,59555.0,Municipality
75110,11,75,90372.0,Municipality
75111,11,75,146643.0,Municipality
75112,11,75,140296.0,Municipality
75113,11,75,182099.0,Municipality
75114,11,75,135964.0,Municipality
75115,11,75,233392.0,Municipality
75116,11,75,166361.0,Municipality
75117,11,75,167288.0,Municipality
75118,11,75,195233.0,Municipality
75119,11,75,187015.0,Municipality
75120,11,75,195814.0,Municipality
77001,11,77,1125.0,Municipality
77002,11,77,825.0,Municipality
77003,11,77,351.0,Municipality
77004,11,77,284.000000000001,Municipality
77005,11,77,3278.0,Municipality
77006,11,77,995.0,Municipality
77007,11,77,375.999999999998,Municipality
77008,11,77,1242.0,Municipality
77009,11,77,125.0,Municipality
77010,11,77,917.0,Municipality
77011,11,77,513.999999999999,Municipality
77012,11,77,300.0,Municipality
77013,11,77,356.0,Municipality
77014,11,77,13886.0,Municipality
77015,11,77,95.0,Municipality
77016,11,77,1666.00000000001,Municipality
77018,11,77,7521.00000000001,Municipality
77019,11,77,327.0,Municipality
77020,11,77,657.999999999999,Municipality
77021,11,77,148.0,Municipality
77022,11,77,1135.0,Municipality
77023,11,77,304.0,Municipality
77024,11,77,364.0,Municipality
77025,11,77,861.0,Municipality
77026,11,77,368.0,Municipality
77027,11,77,1180.0,Municipality
77029,11,77,205.0,Municipality
77030,11,77,774.000000000003,Municipality
77031,11,77,826.999999999999,Municipality
77032,11,77,906.0,Municipality
77033,11,77,241.000000000001,Municipality
77034,11,77,739.0,Municipality
77035,11,77,559.0,Municipality
77036,11,77,140.0,Municipality
77037,11,77,5876.0,Municipality
77038,11,77,400.999999999999,Municipality
77039,11,77,1150.0,Municipality
77040,11,77,3774.99999999999,Municipality
77041,11,77,290.0,Municipality
77042,11,77,3151.0,Municipality
77043,11,77,372.999999999999,Municipality
77044,11,77,960.999999999999,Municipality
77045,11,77,725.0,Municipality
77046,11,77,347.0,Municipality
