Code,Reg,Dep,PopulationTotal,Level
01001,84,01,776.000000000003,Municipality
01002,84,01,247.999999999999,Municipality
01004,84,01,14035.0,Municipality
01005,84,01,1689.00000000001,Municipality
01006,84,01,111.0,Municipality
01007,84,01,2726.0,Municipality
01008,84,01,752.0,Municipality
01009,84,01,330.0,Municipality
01010,84,01,1115.0,Municipality
01011,84,01,376.0,Municipality
01012,84,01,326.0,Municipality
01013,84,01,144.0,Municipality
01014,84,01,3367.0,Municipality
01015,84,01,644.0,Municipality
01015,,,644.0,Municipality
01016,84,01,462.999999999999,Municipality
01017,84,01,442.0,Municipality
01019,84,01,28.0000000000001,Municipality
01021,84,01,1408.0,Municipality
01022,84,01,1237.0,Municipality
01023,84,01,66.0,Municipality
01024,84,01,3211.0,Municipality
01025,84,01,4092.0,Municipality
01025,,,4092.0,Municipality
01026,84,01,923.0,Municipality
01027,84,01,2684.0,Municipality
01028,84,01,602.000000000001,Municipality
01029,84,01,689.0,Municipality
01030,84,01,866.000000000001,Municipality
01031,84,01,3624.0,Municipality
01032,84,01,3333.0,Municipality
01033,84,01,16423.0,Municipality
01033,,,16423.0,Municipality
01034,84,01,9102.99999999998,Municipality
01035,84,01,314.0,Municipality
01036,84,01,1311.0,Municipality
01036,,,1311.0,Municipality
01037,84,01,297.999999999999,Municipality
01038,84,01,756.0,Municipality
01039,84,01,454.000000000002,Municipality
01040,84,01,496.0,Municipality
01041,84,01,747.999999999997,Municipality
01042,84,01,279.0,Municipality
01043,84,01,4613.0,Municipality
01044,84,01,622.0,Municipality
01045,84,01,283.0,Municipality
01046,84,01,876.0,Municipality
01047,84,01,1007.0,Municipality
01049,84,01,3229.0,Municipality
01050,84,01,335.999999999999,Municipality
01051,84,01,89.0,Municipality
01052,84,01,328.0,Municipality
01053,84,01,41527.0,Municipality
01054,84,01,1366.0,Municipality
01056,84,01,346.0,Municipality
01057,84,01,512.0,Municipality
01058,84,01,839.0,Municipality
01060,84,01,509.0,Municipality
01061,84,01,1166.0,Municipality
01062,84,01,911.0,Municipality
01063,84,01,521.0,Municipality
01064,84,01,1016.0,Municipality
01065,84,01,1782.0,Municipality
01066,84,01,77.0,Municipality
01067,84,01,254.0,Municipality
01068,84,01,783.0,Municipality
01069,84,01,1517.0,Municipality
01071,84,01,4856.0,Municipality
01072,84,01,3157.0,Municipality
01073,84,01,1007.0,Municipality
01074,84,01,2451.0,Municipality
01075,84,01,1342.0,Municipality
01076,84,01,130.0,Municipality
01077,84,01,194.0,Municipality
01078,84,01,1481.00000000001,Municipality
01079,84,01,820.000000000001,Municipality
01080,84,01,651.0,Municipality
01080,,,651.0,Municipality
01081,84,01,729.0,Municipality
01082,84,01,625.0,Municipality
01083,84,01,909.999999999999,Municipality
01084,84,01,843.999999999998,Municipality
01085,84,01,388.0,Municipality
01087,84,01,285.0,Municipality
01088,84,01,913.000000000001,Municipality
01089,84,01,2138.0,Municipality
01090,84,01,341.0,Municipality
01092,84,01,1584.0,Municipality
01093,84,01,4859.0,Municipality
01094,84,01,753.0,Municipality
01095,84,01,814.0,Municipality
01095,,,814.0,Municipality
01096,84,01,1008.0,Municipality
01098,84,01,1112.0,Municipality
01098,,,1112.0,Municipality
01099,84,01,1514.0,Municipality
01100,84,01,134.0,Municipality
01101,84,01,151.0,Municipality
01102,84,01,952.000000000003,Municipality
01103,84,01,1812.0,Municipality
01104,84,01,467.0,Municipality
01105,84,01,1680.0,Municipality
01106,84,01,173.0,Municipality
01107,84,01,136.0,Municipality
01108,84,01,1181.0,Municipality
01109,84,01,2219.0,Municipality
01110,84,01,140.0,Municipality
01111,84,01,124.0,Municipality
01112,84,01,411.0,Municipality
01113,84,01,821.999999999999,Municipality
01114,84,01,648.0,Municipality
01115,84,01,1336.0,Municipality
01116,84,01,498.999999999998,Municipality
01117,84,01,148.0,Municipality
01118,84,01,1264.0,Municipality
01121,84,01,114.0,Municipality
01123,84,01,1138.0,Municipality
01124,84,01,663.999999999999,Municipality
